INDICATIVO;NOMBRE;ALTITUD;C_X;C_Y;NOM_PROV;LONGITUD;LATITUD; Año ;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media
Insolación total mensual (décimas de hora);;;;;;;;;;;;;;;;;;;;;
8096;CUENCA;949;574025;4435579;CUENCA;0207552;400402;2022;2212;1935;867;;;2760;3006;2850;2402;1898;1474;894;
8175;ALBACETE/LOS LLANOS;702;599093;4312313;ALBACETE;0151232;385715;2022;2140;1920;914;2087;3471;3527;3793;3314;2512;1824;1639;1086;2352
8178D;ALBACETE,OBS.;674;598467;4318039;ALBACETE;0151462;390021;2022;;1803;757;1652;2892;3116;3914;2854;2228;1222;1171;704;
8283;ONTINYENT;350;707656;4300570;VALENCIA;0036282;384946;2022;2200;1930;755;1925;3445;3690;3550;3370;2440;1770;1850;1420;2362
8293X;XÀTIVA;88;714444;4319880;VALENCIA;0031252;390006;2022;1975;1815;703;1721;3482;3545;3378;3278;2198;1778;1726;1329;2244
8309X;UTIEL, LA CUBERA;758;650758;4382122;VALENCIA;0114412;393432;2022;2275;2038;1009;2133;3382;3545;3669;3461;2629;2041;1811;1298;2441
8368U;TERUEL;902;659303;4468356;TERUEL;0107272;402102;2022;2159;1894;862;2093;3232;3314;3452;3056;2316;1901;1400;1197;2240
8414A;VALENCIA/AEROPUERTO;56;717181;4373646;VALENCIA;0028292;392906;2022;2277;2053;992;2058;3370;3564;3506;3484;2432;1750;1860;1441;2399
8416;VALENCIA;11;726514;4373419;VALENCIA;0021592;392850;2022;2221;1937;961;1977;3218;3454;3355;3377;2370;1745;1790;1405;2318
8489X;VILLAFRANCA;1131;732768;4479473;CASTELLON;0015212;402600;2022;2242;1968;838;2144;2888;2827;2899;2648;1982;1829;1606;1363;2103
8497B;ALCORA (LA LLOMA);260;737592;4438569;CASTELLON;0012512;400350;2022;1065;870;645;1710;2750;2815;2755;2805;1745;950;715;620;1620
8500A;CASTELLÓN-ALMASSORA;43;750113;4427117;CASTELLON;0004192;395726;2022;2285;2106;1133;2273;3439;3487;3510;3434;2501;2101;1928;1551;2479
8508U;BENICARLO SAN GREGORIO;25;788242;4480200;CASTELLON;0023511;402521;2022;1885;1565;750;1890;3175;3140;3090;2940;1966;1355;1330;1150;2020
9051;MEDINA DE POMAR;580;460599;4752044;BURGOS;0328582;425512;2022;1432;1423;1197;;2434;2246;2881;2524;1842;1724;974;671;
9091O;FORONDA-TXOKIZA;513;521641;4747739;ARABA/ALAVA;0244062;425255;2022;1555;1435;920;1682;2412;2310;2746;2594;1985;1652;1051;902;1770
9091R;VITORIA-GASTEIZ AEROPUERTO;513;521826;4746629;ARABA/ALAVA;0243582;425219;2022;1807;1406;1109;1825;2578;2386;3050;2657;2103;1737;1024;925;1884
9170;LOGROÑO, AEROPUERTO;353;555002;4700205;LA RIOJA;0219522;422708;2022;1859;1887;919;2214;2999;2884;3830;3079;2371;1883;1199;822;2162
9208E;ARAGÜÉS DEL PUERTO, DEPÓSITO;1025;690586;4731085;HUESCA;0040222;424231;2022;2220;1959;1146;2246;2747;2220;3098;2907;2247;1528;1271;1033;2052
9263D;PAMPLONA, AEROPUERTO;459;610434;4736929;NAVARRA;0139002;424637;2022;1946;1669;961;1748;2550;2492;3653;2970;2155;1778;987;1015;1994
9381I;CALAMOCHA;884;643697;4531958;TERUEL;0117362;405534;2022;2348;2036;826;2239;3306;3362;3676;3140;2375;2041;1301;1062;2309
9390;DAROCA;779;633492;4552680;ZARAGOZA;0124362;410652;2022;1981;1821;766;2135;3062;3299;3711;3202;2416;1717;1185;859;2180
9394X;CALATAYUD, DEPÓSITO;582;613364;4576400;ZARAGOZA;0138432;411952;2022;2065;1818;836;2415;3333;3046;4033;3383;2678;1794;1079;1016;2291
9434;ZARAGOZA, AEROPUERTO;249;666170;4614014;ZARAGOZA;0100152;413938;2022;2356;2184;1175;2563;3318;3462;3929;3286;2681;1833;1373;1249;2451
9434P;ZARAGOZA, VALDESPARTERA;258;672057;4609771;ZARAGOZA;0056052;413716;2022;2138;1995;1145;2169;2643;2659;3639;3090;2545;1727;1237;1187;2181
9569A;CALANDA;466;732507;4536513;TERUEL;0014162;405648;2022;2495;2071;794;2252;2948;2894;3553;2782;2312;1797;1608;1384;2241
9574B;CASPE, PLANA DEL PILÓN;215;745643;4569824;ZARAGOZA;0004072;411433;2022;2340;2057;1102;2400;3307;3178;3269;3267;2650;1891;1668;1141;2356
9585;LA MOLINA;1699;906984;4698529;GIRONA;0156221;421957;2022;1654;1573;1103;1970;2707;2921;3154;2011;2111;1710;1248;896;1922
9771C;LLEIDA;186;799744;4614524;LLEIDA;0035531;413734;2022;2260;2147;1250;2566;3384;3534;3799;3589;2824;2169;1864;1117;2542
9784P;BIELSA;992;764425;4724773;HUESCA;0013291;423748;2022;1208;1328;773;1895;2190;1916;2702;1775;1391;931;783;687;1465
9898;HUESCA, AEROPUERTO;546;721206;4662615;HUESCA;0019322;420504;2022;2169;1991;1224;2677;3236;3281;3721;3502;2555;1833;1593;1077;2405
9981A;TORTOSA;50;794618;4524684;TARRAGONA;0029361;404913;2022;2428;1922;995;2345;3300;3127;3447;3209;2264;1714;1645;1444;2320
